Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
rrsC-gltU-rrlC-rrfC	gltU // rrsC // rrlC // rrfC	[rrsC-gltU-rrlC-rrfC 3,941,808 &rarr; 3,946,819]	5012	+
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	alaU // ileU // thrV // rrfF // rrsD // rrlD // rrfD	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,423 &larr; 3,428,762]	5340	-
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	alaU // ileU // thrV // rrfF // rrsD // rrlD // rrfD	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,423 &larr; 3,428,762]	5340	-
rrsE-gltV-rrlE-rrfE	gltV // rrlE // rrfE // rrsE	[rrsE-gltV-rrlE-rrfE 4,208,147 &rarr; 4,213,159]	5013	+
rrsE-gltV-rrlE-rrfE	gltV // rrlE // rrfE // rrsE	[rrsE-gltV-rrlE-rrfE 4,208,147 &rarr; 4,213,159]	5013	+
rrsG-gltW-rrlG-rrfG	gltW // rrfG // rrsG // rrlG	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,157]	5089	-
rrsG-gltW-rrlG-rrfG	gltW // rrfG // rrsG // rrlG	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,157]	5089	-
rrsH-ileV-alaV-rrlH-rrfH	ileV // alaV // rrsH // rrlH // rrfH	[rrsH-ileV-alaV-rrlH-rrfH 223,771 &rarr; 228,875]	5105	+
rrsH-ileV-alaV-rrlH-rrfH	ileV // alaV // rrsH // rrlH // rrfH	[rrsH-ileV-alaV-rrlH-rrfH 223,771 &rarr; 228,875]	5105	+
rsd	rsd	[rsd 4,196,332 &larr; 4,196,808]	477	-
rsd	rsd	[rsd 4,196,332 &larr; 4,196,808]	477	-
rseABC	rseC // rseA // rseB	[rseABC 2,707,322 &larr; 2,709,404]	2083	-
rseP	rseP	[rseP 196,546 &rarr; 197,898]	1353	+
rseX	rseX	[rseX 2,033,649 &rarr; 2,033,739]	91	+
rsfS-rlmH-mrdAB-rlpA	rlpA // rlmH // rsfS // mrdB // mrdA	[rsfS-rlmH-mrdAB-rlpA 664,102 &larr; 669,036]	4935	-
rsgA	rsgA	[TU0-14150 4,390,457 &larr; 4,391,509]	1053	-
rsmA-apaGH	apaH // rsmA // apaG	[rsmA-apaGH 50,380 &larr; 52,430]	2051	-
rsmB	rsmB	[rsmB 3,435,207 &rarr; 3,436,496]	1290	+
rsmC	rsmC	[TU0-14215 4,606,669 &larr; 4,607,700]	1032	-
yhhL // rsmD	yhhL // rsmD	[TU0-13942 3,604,393 &rarr; 3,605,248]	856	+
gshB // rsmE	rsmE // gshB	[TU0-13805 3,091,134 &rarr; 3,092,828]	1695	+
rsmF	rsmF	[TU0-13428 1,920,223 &rarr; 1,921,662]	1440	+
rsmG	rsmG	[rsmG 3,923,057 &larr; 3,923,680]	624	-
rspA-rspB	rspA // rspB	[rspA-rspB 1,652,896 &larr; 1,655,141]	2246	-
rssAB	rssB // rssA	[rssAB 1,289,245 &rarr; 1,291,255]	2011	+
rssB	rssB	[rssB 1,290,242 &rarr; 1,291,255]	1014	+
rstAB	rstA // rstB	[rstAB 1,682,159 &rarr; 1,684,183]	2025	+
rsuA	rsuA	[TU0-13555 2,279,788 &larr; 2,280,483]	696	-
rsxABCDGE-nth	nth // rsxC // rsxE // rsxB // rsxG // rsxA // rsxD	[rsxABCDGE-nth 1,705,767 &rarr; 1,712,158]	6392	+
rtcBA	rtcB // rtcA	[rtcBA 3,555,833 &larr; 3,558,079]	2247	-
rtcR	rtcR	[rtcR 3,558,268 &rarr; 3,559,866]	1599	+
rttR	rttR	[TU0-13181 1,287,066 &larr; 1,287,236]	171	-
rutABCDEFG	rutD // rutA // rutE // rutB // rutF // rutC // rutG	[rutABCDEFG 1,068,511 &larr; 1,074,011]	5501	-
rutR	rutR	[rutR 1,074,242 &rarr; 1,074,880]	639	+
rutR	rutR	[rutR 1,074,242 &rarr; 1,074,880]	639	+
ruvAB	ruvA // ruvB	[ruvAB 1,944,346 &larr; 1,945,976]	1631	-
ruvAB	ruvA // ruvB	[ruvAB 1,944,346 &larr; 1,945,976]	1631	-
ruvC	ruvC	[ruvC 1,946,855 &larr; 1,947,376]	522	-
rybA-mntS	mntS // rybA	[rybA-mntS 852,725 &larr; 853,064]	340	-
rybB	rybB	[rybB 887,977 &larr; 888,057]	81	-
rydB	rydB	[TU0-13367 1,764,713 &larr; 1,764,780]	68	-
rydC	rydC	[rydC 1,491,443 &larr; 1,491,506]	64	-
ryeA	ryeA	[ryeA 1,923,066 &rarr; 1,923,337]	272	+
ryfA	ryfA	[TU0-13654 2,653,855 &rarr; 2,654,158]	304	+
ryfD	ryfD	[ryfD 2,734,153 &larr; 2,734,295]	143	-
ryhB	ryhB	[ryhB 3,580,927 &larr; 3,581,016]	90	-
ryjA	ryjA	[ryjA 4,277,927 &larr; 4,278,066]	140	-
ryjB	ryjB	[ryjB 4,527,977 &rarr; 4,528,066]	90	+
rzoD	rzoD	[TU0-12978 578,327 &rarr; 578,509]	183	+
rzoR	rzoR	[TU0-13232 1,423,400 &rarr; 1,423,585]	186	+
sad	sad	[TU0-13304 1,613,315 &larr; 1,614,703]	1389	-
safA-ydeO	ydeO // safA	[safA-ydeO 1,582,926 &larr; 1,583,959]	1034	-
yeiS // sanA	sanA // yeiS	[TU0-13537 2,232,878 &rarr; 2,233,839]	962	+
sapA // sapB // sapC // sapD // sapF	sapD // sapA // sapF // sapB // sapC	[TU0-13206 1,351,828 &larr; 1,357,110]	5283	-
satP	satP	[TU0-12791 9,928 &larr; 10,494]	567	-
sbcB	sbcB	[sbcB 2,082,756 &rarr; 2,084,183]	1428	+
sbcDC	sbcD // sbcC	[sbcDC 412,607 &larr; 416,952]	4346	-
sbmA-yaiW	yaiW // sbmA	[sbmA-yaiW 396,639 &rarr; 398,966]	2328	+
sbmC	sbmC	[sbmC 2,080,789 &larr; 2,081,262]	474	-
sbmC	sbmC	[sbmC 2,080,789 &larr; 2,081,262]	474	-
sbp terminator // sbp	sbp	[TU0-14080 4,108,834 &rarr; 4,109,823]	990	+
scpA-argK-scpBC	scpC // scpA // scpB // argK	[scpA-argK-scpBC 3,060,850 &rarr; 3,066,280]	5431	+
sdaA	sdaA	[sdaA 1,896,932 &rarr; 1,898,296]	1365	+
sdaCB	sdaB // sdaC	[sdaCB 2,928,229 &rarr; 2,930,943]	2715	+
sdhCDAB-sucABCD-sdhX	sdhX // sdhB // sucA // sucD // sdhA // sdhD // sucC // sdhC // sucB	[sdhCDAB-sucABCD-sdhX 755,177 &rarr; 765,150]	9974	+
sdhDAB	sdhB // sdhA // sdhD	[sdhDAB 755,560 &rarr; 758,405]	2846	+
sdhE-ygfX	ygfX // sdhE	[sdhE-ygfX 3,040,416 &larr; 3,041,070]	655	-
sdiA	sdiA	[sdiA 1,996,110 &larr; 1,996,832]	723	-
sdiA	sdiA	[sdiA 1,996,110 &larr; 1,996,832]	723	-
sdiA	sdiA	[TU0-13452 1,996,110 &larr; 1,996,832]	723	-
sdiA	sdiA	[sdiA 1,996,110 &larr; 1,996,832]	723	-
sdiA	sdiA	[sdiA 1,996,110 &larr; 1,996,832]	723	-
sdiA	sdiA	[sdiA 1,996,110 &larr; 1,996,832]	723	-
sdiA	sdiA	[sdiA 1,996,110 &larr; 1,996,832]	723	-
sdsN	sdsN	[sdsN 1,996,921 &rarr; 1,997,057]	137	+
sdsN	sdsN	[sdsN 1,996,921 &rarr; 1,997,057]	137	+
sdsR	sdsR	[sdsR 1,923,104 &larr; 1,923,207]	104	-
sdsR-pphA	sdsR // pphA	[sdsR-pphA 1,922,313 &larr; 1,923,207]	895	-
sdsR-pphA	sdsR // pphA	[sdsR-pphA 1,922,313 &larr; 1,923,207]	895	-
secB-gpsA	gpsA // secB	[secB-gpsA 3,782,642 &larr; 3,784,128]	1487	-
secE-nusG	nusG // secE	[secE-nusG 4,177,358 &rarr; 4,178,288]	931	+
secG	secG	[secG 3,322,173 &larr; 3,322,505]	333	-
secG-leuU	leuU // secG	[secG-leuU 3,322,072 &larr; 3,322,505]	434	-
secG-leuU	leuU // secG	[secG-leuU 3,322,072 &larr; 3,322,505]	434	-
secMA-mutT	secM // secA // mutT	[secMA-mutT 107,705 &rarr; 111,433]	3729	+
selAB	selB // selA	[selAB 3,758,017 &larr; 3,761,249]	3233	-
selC	selC	[selC 3,836,222 &rarr; 3,836,316]	95	+
selD-topB	topB // selD	[selD-topB 1,844,999 &larr; 1,848,008]	3010	-
selD-topB	topB // selD	[selD-topB 1,844,999 &larr; 1,848,008]	3010	-
seqA-pgm	seqA // pgm	[seqA-pgm 712,987 &rarr; 715,198]	2212	+
serA	serA	[serA 3,057,178 &larr; 3,058,410]	1233	-
serA	serA	[serA 3,057,178 &larr; 3,058,410]	1233	-
serB	serB	[TU0-14224 4,624,895 &rarr; 4,625,863]	969	+
serB-radA	radA // serB	[serB-radA 4,624,895 &rarr; 4,627,294]	2400	+
serC	serC	[serC 957,653 &rarr; 958,741]	1089	+
serC	serC	[serC 957,653 &rarr; 958,741]	1089	+
serC-aroA	serC // aroA	[serC-aroA 957,653 &rarr; 960,095]	2443	+
serS	serS	[serS 939,428 &rarr; 940,720]	1293	+
serT	serT	[serT 1,031,625 &larr; 1,031,712]	88	-
serU	serU	[serU 2,043,468 &larr; 2,043,557]	90	-
serV-argVYZQ	argV // argY // serV // argQ // argZ	[serV-argVYZQ 2,817,784 &larr; 2,818,645]	862	-
serW	serW	[serW 925,884 &larr; 925,971]	88	-
serW	serW	[serW 925,884 &larr; 925,971]	88	-
serX	serX	[serX 1,097,565 &larr; 1,097,652]	88	-
setB	setB	[TU0-14239 2,263,863 &rarr; 2,265,044]	1182	+
setC	setC	[TU0-14008 3,836,953 &rarr; 3,838,137]	1185	+
sfmA	sfmA	[TU0-12966 558,212 &rarr; 558,754]	543	+
sfmD // sfmC	sfmC // sfmD	[TU0-12967 558,974 &rarr; 562,300]	3327	+
sfmF // sfmH	sfmF // sfmH	[TU0-12968 562,336 &rarr; 563,845]	1510	+
sfsA-dksA	sfsA // dksA	[sfsA-dksA 160,149 &larr; 161,486]	1338	-
sfsB	sfsB	[sfsB 3,334,909 &rarr; 3,335,187]	279	+
sgcX // sgcB // sgcC // sgcQ // sgcA // sgcE // sgcR	sgcQ // sgcR // sgcB // sgcC // sgcA // sgcX // sgcE	[TU0-14193 4,526,106 &larr; 4,531,651]	5546	-
sgrR-sroA-thiBPQ	sroA // sgrR // thiQ // thiB // thiP	[sgrR-sroA-thiBPQ 72,229 &larr; 77,299]	5071	-
sgrST-setA	setA // sgrT // sgrS	[sgrST-setA 77,367 &rarr; 78,799]	1433	+
shiA	shiA	[shiA 2,053,643 &rarr; 2,054,959]	1317	+
shoB	shoB	[shoB 2,700,117 &larr; 2,700,197]	81	-
sibA	sibA	[sibA 2,153,311 &rarr; 2,153,454]	144	+
sibB	sibB	[sibB 2,153,646 &rarr; 2,153,781]	136	+
sibC	sibC	[sibC 3,056,851 &rarr; 3,056,991]	141	+
sibD	sibD	[sibD 3,194,721 &larr; 3,194,865]	145	-
sibE	sibE	[sibE 3,195,097 &larr; 3,195,240]	144	-
sieB	sieB	[sieB 1,418,671 &rarr; 1,419,159]	489	+
sixA	sixA	[sixA 2,456,327 &larr; 2,456,812]	486	-
slp-dctR	dctR // slp	[slp-dctR 3,653,961 &rarr; 3,655,213]	1253	+
slt	slt	[slt 4,630,733 &rarr; 4,632,670]	1938	+
slyA	slyA	[slyA 1,720,390 &larr; 1,720,824]	435	-
slyB	slyB	[slyB 1,719,876 &rarr; 1,720,343]	468	+
slyB	slyB	[slyB 1,719,876 &rarr; 1,720,343]	468	+
slyD	slyD	[TU0-13917 3,477,907 &larr; 3,478,497]	591	-
slyX	slyX	[slyX 3,477,640 &rarr; 3,477,858]	219	+
smf	smf	[smf 3,432,436 &larr; 3,433,560]	1125	-
smg	smg	[smg 3,431,991 &larr; 3,432,464]	474	-
smpB	smpB	[TU0-13686 2,754,896 &rarr; 2,755,378]	483	+
smtA-mukFEB	mukF // mukE // cmoM // mukB	[smtA-mukFEB 973,537 &rarr; 980,786]	7250	+
sodA	sodA	[sodA 4,100,810 &rarr; 4,101,430]	621	+
sodB	sodB	[sodB 1,735,378 &rarr; 1,735,959]	582	+
sodC	sodC	[sodC 1,724,134 &larr; 1,724,655]	522	-
sohA-yhaV	yhaV // prlF	[sohA-yhaV 3,277,002 &rarr; 3,277,801]	800	+
sohB	sohB	[sohB 1,329,332 &rarr; 1,330,381]	1050	+
sohB	sohB	[sohB 1,329,332 &rarr; 1,330,381]	1050	+
sokB	sokB	[sokB 1,492,119 &rarr; 1,492,174]	56	+
sokC	sokC	[TU0-12795 16,952 &rarr; 17,006]	55	+
sokX	sokX	[sokX 2,887,353 &rarr; 2,887,408]	56	+
solA-yceO	yceO // solA	[solA-yceO 1,119,307 &larr; 1,120,586]	1280	-
soxR	soxR	[soxR 4,277,469 &rarr; 4,277,933]	465	+
soxS	soxS	[soxS 4,277,060 &larr; 4,277,383]	324	-
speAB	speB // speA	[speAB 3,082,877 &larr; 3,085,911]	3035	-
speB	speB	[speB 3,082,877 &larr; 3,083,797]	921	-
speC	speC	[speC 3,107,020 &larr; 3,109,155]	2136	-
speD	speD	[speD 134,788 &larr; 135,582]	795	-
speE	speE	[speE 135,598 &larr; 136,464]	867	-
speF-potE	speFL // speF // potE	[speF-potE 716,946 &larr; 720,822]	3877	-
spf	spf	[spf 4,049,899 &rarr; 4,050,007]	109	+
sppA terminator // sppA	sppA	[TU0-13391 1,848,837 &rarr; 1,850,693]	1857	+
spy	spy	[spy 1,825,140 &larr; 1,825,625]	486	-
sra	sra	[sra 1,555,826 &larr; 1,555,963]	138	-
sraA	sraA	[sraA 458,728 &larr; 458,784]	57	-
sraB	sraB	[sraB 1,146,589 &rarr; 1,146,757]	169	+
sraG	sraG	[sraG 3,311,183 &rarr; 3,311,398]	216	+
srkA-dsbA	srkA // dsbA	[srkA-dsbA 4,042,415 &rarr; 4,044,044]	1630	+
srlAEBD-gutM-srlR-gutQ	gutM // srlD // srlA // srlB // srlR // srlE // gutQ	[srlAEBD-gutM-srlR-gutQ 2,825,832 &rarr; 2,830,778]	4947	+
srlR	srlR	[srlR 2,829,047 &rarr; 2,829,820]	774	+
srmB	srmB	[srmB 2,712,896 &rarr; 2,714,230]	1335	+
sroA	sroA	[sroA 75,516 &larr; 75,608]	93	-
sroG-ribB	sroG // ribB	[sroG-ribB 3,183,813 &larr; 3,184,718]	906	-
sroH	sroH	[sroH 4,190,327 &larr; 4,190,487]	161	-
ssb	ssb	[ssb 4,274,125 &rarr; 4,274,661]	537	+
ssb	ssb	[ssb 4,274,125 &rarr; 4,274,661]	537	+
ssb	ssb	[ssb 4,274,125 &rarr; 4,274,661]	537	+
sseA	sseA	[sseA 2,652,494 &rarr; 2,653,339]	846	+
sseB	sseB	[TU0-13655 2,654,157 &larr; 2,654,933]	777	-
ssnA	ssnA	[ssnA 3,019,161 &rarr; 3,020,489]	1329	+
sspAB	sspA // sspB	[sspAB 3,376,279 &larr; 3,377,420]	1142	-
ssrA	ssrA	[ssrA 2,755,593 &rarr; 2,755,955]	363	+
ssrS	ssrS	[ssrS 3,055,983 &rarr; 3,056,165]	183	+
ssrS	ssrS	[ssrS 3,055,983 &rarr; 3,056,165]	183	+
ssrS-ygfA	ssrS // fau	[ssrS-ygfA 3,055,983 &rarr; 3,056,789]	807	+
ssrS-ygfA	ssrS // fau	[ssrS-ygfA 3,055,983 &rarr; 3,056,789]	807	+
sstT	sstT	[sstT 3,239,944 &rarr; 3,241,188]	1245	+
ssuEADCB	ssuA // ssuC // ssuB // ssuE // ssuD	[ssuEADCB 993,277 &larr; 997,512]	4236	-
stfE // tfaE	tfaE // stfE	[TU0-13152 1,208,517 &larr; 1,209,655]	1139	-
tfaR // stfR // lomR_2	stfR // tfaR	[TU0-13236 1,429,049 &rarr; 1,432,986]	3938	+
sthA	sthA	[sthA 4,159,390 &larr; 4,160,790]	1401	-
stpA	stpA	[stpA 2,798,091 &larr; 2,798,495]	405	-
stpA	stpA	[stpA 2,798,091 &larr; 2,798,495]	405	-
stpA	stpA	[stpA 2,798,091 &larr; 2,798,495]	405	-
sucAB	sucA // sucB	[sucAB 758,706 &rarr; 762,739]	4034	+
sucABCD	sucA // sucD // sucC // sucB	[sucABCD 758,706 &rarr; 765,049]	6344	+
sufABCDSE	sufS // sufA // sufE // sufB // sufC // sufD	[sufABCDSE 1,758,874 &larr; 1,764,386]	5513	-
sugE	gdx	[sugE 4,376,875 &rarr; 4,377,192]	318	+
suhB	suhB	[suhB 2,663,442 &rarr; 2,664,245]	804	+
sulA	sulA	[sulA 1,020,410 &larr; 1,020,919]	510	-
surA-pdxA-rsmA-apaGH	apaH // rsmA // surA // apaG // pdxA	[surA-pdxA-rsmA-apaGH 50,380 &larr; 54,702]	4323	-
sutR	sutR	[sutR 1,506,172 &rarr; 1,506,708]	537	+
syd	syd	[TU0-13737 2,924,735 &larr; 2,925,280]	546	-
symE	symE	[symE 4,579,499 &larr; 4,579,840]	342	-
symR	symR	[symR 4,579,835 &rarr; 4,579,911]	77	+
tabA	tabA	[TU0-14173 4,474,862 &rarr; 4,475,314]	453	+
yiaC // tag	tag // yiaC	[TU0-13978 3,713,092 &rarr; 3,714,092]	1001	+
talA	talA	[talA 2,578,666 &rarr; 2,579,616]	951	+
talA-tktB	tktB // talA	[talA-tktB 2,578,666 &rarr; 2,581,639]	2974	+
talA-tktB	tktB // talA	[talA-tktB 2,578,666 &rarr; 2,581,639]	2974	+
talB	talB	[talB 8,238 &rarr; 9,191]	954	+
tam	tam	[tam 1,607,346 &rarr; 1,608,104]	759	+
ytfP // tamB // tamA	ytfP // tamB // tamA	[TU0-14165 4,442,382 &rarr; 4,448,235]	5854	+
patZ // tapT	tapT // patZ	[TU0-13671 2,719,223 &rarr; 2,722,613]	3391	+
tar-tap-cheRBYZ	cheR // cheB // cheZ // tap // tar // cheY	[tar-tap-cheRBYZ 1,966,393 &larr; 1,972,691]	6299	-
tas	tas	[TU0-13750 2,971,597 &rarr; 2,972,637]	1041	+
tatABC	tatA // tatC // tatB	[tatABC 4,021,945 &rarr; 4,023,512]	1568	+
tatABC	tatD // tatA // tatC // tatB	[tatABC 4,021,945 &rarr; 4,024,336]	2392	+
tatD	tatD	[TU0-14053 4,023,554 &rarr; 4,024,336]	783	+
tatE	tatE	[TU0-13003 658,947 &rarr; 659,150]	204	+
tauABCD	tauA // tauC // tauB // tauD	[tauABCD 385,232 &rarr; 388,646]	3415	+
tcdA	tcdA	[TU0-13742 2,945,036 &larr; 2,945,842]	807	-
tcyJ	tcyJ	[tcyJ 1,999,585 &larr; 2,000,385]	801	-
tcyP	tcyP	[tcyP 1,810,934 &rarr; 1,812,325]	1392	+
tdcABCDEFG	tdcB // tdcE // tdcA // tdcG // tdcF // tdcC // tdcD	[tdcABCDEFG 3,258,285 &larr; 3,267,065]	8781	-
tdcBCDEFG	tdcB // tdcE // tdcG // tdcF // tdcC // tdcD	[tdcBCDEFG 3,258,285 &larr; 3,266,028]	7744	-
tdcR	tdcR	[TU0-13870 3,267,380 &rarr; 3,267,598]	219	+
tdk	tdk	[tdk 1,293,527 &rarr; 1,294,144]	618	+
tehAB	tehA // tehB	[tehAB 1,500,573 &rarr; 1,502,155]	1583	+
tesA-ybbO	tesA // ybbO	[tesA-ybbO 518,340 &larr; 519,765]	1426	-
tesB	tesB	[tesB 474,301 &larr; 475,161]	861	-
tfaD	tfaD	[TU0-12982 581,534 &rarr; 582,097]	564	+
tfaS	tfaS	[TU0-13602 2,470,803 &rarr; 2,471,105]	303	+
tfaX	tfaX	[TU0-12983 582,875 &rarr; 583,060]	186	+
tgt-yajC	tgt // yajC	[tgt-yajC 426,137 &rarr; 427,619]	1483	+
thiCEFSGH	thiH // thiC // thiG // thiF // thiS // thiE	[thiCEFSGH 4,190,735 &larr; 4,196,099]	5365	-
thiI	thiI	[thiI 441,549 &rarr; 442,997]	1449	+
thiMD	thiM // thiD	[thiMD 2,183,716 &larr; 2,185,301]	1586	-
thrL	thrL	[thrL 190 &rarr; 255]	66	+
thrLABC	thrL // thrA // thrC // thrB	[thrLABC 190 &rarr; 5,020]	4831	+
thrS-infC	thrS // infC	[thrS-infC 1,800,096 &larr; 1,802,570]	2475	-
thrS-infC-rpmI-rplT-pheMST-ihfA	ihfA // rplT // pheT // pheS // pheM // thrS // infC // rpmI	[thrS-infC-rpmI-rplT-pheMST-ihfA 1,795,253 &larr; 1,802,570]	7318	-
thrU-tyrU-glyT-thrT-tufB	thrU // glyT // thrT // tyrU // tufB	[thrU-tyrU-glyT-thrT-tufB 4,175,388 &rarr; 4,177,128]	1741	+
thrW	thrW	[thrW 262,871 &rarr; 262,946]	76	+
thyA	thyA	[thyA 2,964,361 &larr; 2,965,155]	795	-
tig	tig	[tig 455,133 &rarr; 456,431]	1299	+
tig	tig	[tig 455,133 &rarr; 456,431]	1299	+
tig	tig	[tig 455,133 &rarr; 456,431]	1299	+
tilS	tilS	[TU0-12833 212,331 &rarr; 213,629]	1299	+
tisB	tisB	[tisB 3,853,553 &rarr; 3,853,642]	90	+
tktA	tktA	[tktA 3,079,644 &larr; 3,081,635]	1992	-
tktB	tktB	[tktB 2,579,636 &rarr; 2,581,639]	2004	+
tldD	tldD	[TU0-13902 3,390,583 &larr; 3,392,028]	1446	-
tldE	tldE	[tldE 4,457,959 &rarr; 4,459,311]	1353	+
tnaC	tnaC	[tnaC 3,888,435 &rarr; 3,888,509]	75	+
tnaCAB	tnaC // tnaA // tnaB	[tnaCAB 3,888,435 &rarr; 3,891,483]	3049	+
pal // cpoB // tolB	cpoB // pal // tolB	[TU0-41586 777,740 &rarr; 780,389]	2650	+
tolB-pal-ybgF	cpoB // pal // tolB	[tolB-pal-ybgF 777,740 &rarr; 780,389]	2650	+
tolC-ygiBC	ygiB // tolC // ygiC	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]	3467	+
tolC-ygiBC	ygiB // tolC // ygiC	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]	3467	+
tolC-ygiBC	ygiB // tolC // ygiC	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]	3467	+
tolC-ygiBC	ygiB // tolC // ygiC	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]	3467	+
tomB-hha	tomB // hha	[tomB-hha 480,090 &larr; 480,708]	619	-
tonB	tonB	[tonB 1,311,089 &rarr; 1,311,808]	720	+
topA	topA	[topA 1,331,048 &rarr; 1,333,645]	2598	+
topA	topA	[topA 1,331,048 &rarr; 1,333,645]	2598	+
topA	topA	[topA 1,331,048 &rarr; 1,333,645]	2598	+
topA	topA	[topA 1,331,048 &rarr; 1,333,645]	2598	+
topA	topA	[topA 1,331,048 &rarr; 1,333,645]	2598	+
topAI // yjhQ	topAI // yjhQ	[TU0-14195 4,533,239 &larr; 4,534,053]	815	-
torCAD	torD // torA // torC	[torCAD 1,058,084 &rarr; 1,062,398]	4315	+
torI	torI	[TU0-13607 2,476,310 &rarr; 2,476,510]	201	+
torR	torR	[torR 1,057,262 &larr; 1,057,954]	693	-
torS	torS	[TU0-13112 1,053,434 &larr; 1,056,178]	2745	-
torT	torT	[torT 1,056,261 &rarr; 1,057,289]	1029	+
torYZ	torY // torZ	[torYZ 1,954,578 &larr; 1,958,132]	3555	-
tp2	tp2	[tp2 122,697 &larr; 122,857]	161	-
tpiA	tpiA	[tpiA 4,110,740 &larr; 4,111,507]	768	-
tpiA	tpiA	[tpiA 4,110,740 &larr; 4,111,507]	768	-
tpke11	tpke11	[tpke11 14,080 &rarr; 14,167]	88	+
tpke70	tpke70	[TU0-13611 2,496,194 &larr; 2,496,629]	436	-
tppB	dtpA	[tppB 1,712,769 &rarr; 1,714,271]	1503	+
tpx	tpx	[tpx 1,388,305 &larr; 1,388,811]	507	-
tqsA	tqsA	[tqsA 1,673,913 &rarr; 1,674,947]	1035	+
treA	treA	[treA 1,245,679 &larr; 1,247,376]	1698	-
treBC	treB // treC	[treBC 4,463,054 &larr; 4,466,180]	3127	-
treF	treF	[treF 3,669,592 &rarr; 3,671,241]	1650	+
treR	treR	[treR 4,466,299 &larr; 4,467,246]	948	-
treR	treR	[treR 4,466,299 &larr; 4,467,246]	948	-
treR	treR	[treR 4,466,299 &larr; 4,467,246]	948	-
treR	treR	[treR 4,466,299 &larr; 4,467,246]	948	-
trg	trg	[trg 1,492,470 &rarr; 1,494,110]	1641	+
trhP	trhP	[TU0-13505 2,165,668 &rarr; 2,167,029]	1362	+
trkA	trkA	[trkA 3,436,518 &rarr; 3,437,894]	1377	+
trkG	trkG	[TU0-13233 1,423,782 &rarr; 1,425,239]	1458	+
trmA	trmA	[trmA 4,162,170 &larr; 4,163,270]	1101	-
trmB // yggL	trmB // yggL	[TU0-13809 3,101,807 &larr; 3,102,852]	1046	-
trmC	mnmC	[trmC 2,441,764 &rarr; 2,443,770]	2007	+
trmJ	trmJ	[TU0-13657 2,662,583 &larr; 2,663,323]	741	-
trmL	trmL	[TU0-13994 3,781,215 &rarr; 3,781,688]	474	+
trpCBA	trpC // trpB // trpA	[trpCBA 1,316,416 &larr; 1,319,788]	3373	-
trpL	trpL	[trpL 1,323,038 &larr; 1,323,082]	45	-
trpLEDCBA	trpC // trpB // trpE // trpA // trpD // trpL	[trpLEDCBA 1,316,416 &larr; 1,323,082]	6667	-
trpR	trpR	[trpR 4,632,760 &rarr; 4,633,086]	327	+
trpS	trpS	[trpS 3,512,634 &larr; 3,513,638]	1005	-
trpt	trpT	[trpt 3,946,957 &rarr; 3,947,032]	76	+
truD	truD	[truD 2,870,255 &larr; 2,871,304]	1050	-
trxA	trxA	[trxA 3,965,761 &rarr; 3,966,090]	330	+
trxA	trxA	[trxA 3,965,761 &rarr; 3,966,090]	330	+
trxA	trxA	[trxA 3,965,761 &rarr; 3,966,090]	330	+
trxB	trxB	[trxB 931,085 &larr; 932,050]	966	-
trxC	trxC	[trxC 2,718,735 &rarr; 2,719,154]	420	+
tsaB-yeaY	tsaB // yeaY	[tsaB-yeaY 1,889,951 &larr; 1,891,267]	1317	-
tsaD	tsaD	[tsaD 3,209,530 &larr; 3,210,543]	1014	-
tsaE-amiB-mutL-miaA-hfq-hflXKC	mutL // miaA // tsaE // hfq // hflX // hflC // hflK // amiB	[tsaE-amiB-mutL-miaA-hfq-hflXKC 4,395,585 &rarr; 4,404,304]	8720	+
tsgA	tsgA	[tsgA 3,492,568 &rarr; 3,493,749]	1182	+
tsr	tsr	[tsr 4,591,657 &rarr; 4,593,312]	1656	+
tsr	tsr	[tsr 4,591,657 &rarr; 4,593,312]	1656	+
tsx	tsx	[tsx 431,129 &larr; 432,013]	885	-
tsx	tsx	[tsx 431,129 &larr; 432,013]	885	-
ttcA	ttcA	[TU0-13225 1,411,013 &larr; 1,411,948]	936	-
ttdABT	ttdT // ttdB // ttdA	[ttdABT 3,206,463 &rarr; 3,209,487]	3025	+
ttdR	ttdR	[ttdR 3,205,324 &larr; 3,206,256]	933	-
tufA	tufA	[tufA 3,470,145 &larr; 3,471,329]	1185	-
tufA	tufA	[tufA 3,470,145 &larr; 3,471,329]	1185	-
tus	tus	[TU0-13346 1,684,259 &rarr; 1,685,188]	930	+
tusA	tusA	[tusA 3,608,751 &larr; 3,608,996]	246	-
tusE	tusE	[TU0-13104 1,030,339 &larr; 1,030,668]	330	-
tynA	tynA	[tynA 1,449,076 &larr; 1,451,349]	2274	-
tynA	tynA	[TU0-13243 1,449,076 &larr; 1,451,349]	2274	-
