Gene_Names	Direction	Sequence - coordinates of DNA region
ybiJ	-	[TU0-13052 837,665 &larr; 837,925]
pitA	+	[pitA 3,637,642 &rarr; 3,639,141]
yebK	+	[TU0-13439 1,936,652 &rarr; 1,937,521]
cirA	-	[cirA 2,244,778 &larr; 2,246,769]
mqsR // mqsA	-	[mqsRA 3,167,851 &larr; 3,168,544]
stpA	-	[stpA 2,798,091 &larr; 2,798,495]
bax	-	[TU0-14231 3,736,353 &larr; 3,737,177]
rhaD	-	[rhaD 4,093,448 &larr; 4,094,272]
gudD // gudX // gudP	-	[gudPXD 2,918,045 &larr; 2,922,100]
lysQ	+	[TU0-13036 781,577 &rarr; 781,652]
rpsO	-	[rpsO 3,311,415 &larr; 3,311,684]
yobF // cspC	-	[yobF-cspC 1,907,226 &larr; 1,907,591]
mpl	+	[mpl 4,455,785 &rarr; 4,457,158]
yghQ	-	[TU0-13816 3,131,341 &larr; 3,132,408]
pflB // focA	-	[focA-pflB 951,272 &larr; 954,466]
rsmC	-	[TU0-14215 4,606,669 &larr; 4,607,700]
lgoR	-	[lgoR 4,594,937 &larr; 4,595,851]
dpiA // dpiB	+	[dpiBA 652,235 &rarr; 654,542]
sdsN	+	[sdsN 1,996,921 &rarr; 1,997,057]
folK // pcnB	-	[pcnB-folK 157,253 &larr; 159,126]
miaB	-	[TU0-13018 693,531 &larr; 694,955]
nimT	+	[nimT 1,875,673 &rarr; 1,876,854]
luxS	-	[luxS 2,814,218 &larr; 2,814,733]
serC // aroA	+	[serC-aroA 957,653 &rarr; 960,095]
ygfI	-	[TU0-13798 3,066,277 &larr; 3,067,173]
yjhP	-	[TU0-14194 4,532,437 &larr; 4,533,183]
sibC	+	[sibC 3,056,851 &rarr; 3,056,991]
metG	+	[metG 2,194,300 &rarr; 2,196,333]
rtcR	+	[rtcR 3,558,268 &rarr; 3,559,866]
ybeM	+	[TU0-13002 658,031 &rarr; 658,818]
nadE	+	[nadE 1,822,458 &rarr; 1,823,285]
insH11	-	[insH-11 3,652,182 &larr; 3,653,162]
rpmA // rplU	-	[rplU-rpmA 3,332,862 &larr; 3,333,451]
mocA	+	[TU0-13780 3,015,160 &rarr; 3,015,738]
yjgR	-	[TU0-14177 4,488,561 &larr; 4,490,063]
pstS	-	[pstS 3,910,485 &larr; 3,911,525]
ralA	+	[ralA 1,413,556 &rarr; 1,413,734]
ybdG	-	[TU0-12985 603,416 &larr; 604,663]
rprA	+	[rprA 1,770,372 &rarr; 1,770,476]
nlpA	-	[nlpA 3,839,175 &larr; 3,839,993]
potD // potC // potB // potA	-	[potABCD 1,181,783 &larr; 1,185,594]
ygeH	+	[ygeH 2,992,094 &rarr; 2,993,470]
qorB	-	[TU0-14161 4,433,164 &larr; 4,434,024]
groL	+	[groL 4,371,025 &rarr; 4,372,671]
feaR	-	[feaR 1,446,378 &larr; 1,447,283]
sfmD // sfmC	+	[TU0-12967 558,974 &rarr; 562,300]
yebB	+	[yebB 1,946,251 &rarr; 1,946,853]
mliC	-	[TU0-13354 1,718,066 &larr; 1,718,395]
fsaA	+	[fsaA 863,642 &rarr; 864,304]
ppdA // ppdB // ygdB // ppdC // recC	-	[ppdAB-ygdB-ppdC-recC 2,959,060 &larr; 2,964,177]
narV // narW // narY // narZ	-	[narZYWV 1,535,937 &larr; 1,542,590]
epmB	-	[TU0-14143 4,374,629 &larr; 4,375,657]
rpoS	-	[rpoS 2,866,559 &larr; 2,867,551]
tatC // tatB // tatA	+	[tatABC 4,021,945 &rarr; 4,023,512]
apt	+	[apt 491,412 &rarr; 491,963]
ansP	-	[ansP 1,524,481 &larr; 1,525,980]
ynfD	+	[TU0-13336 1,657,565 &rarr; 1,657,870]
cspF	+	[cspF 1,641,855 &rarr; 1,642,067]
ygcP // ygcO // ygcN	+	[TU0-13728 2,892,657 &rarr; 2,894,771]
hslU // hslV	-	[hslVU 4,120,416 &larr; 4,122,287]
gltP	+	[TU0-14126 4,294,481 &rarr; 4,295,794]
rihB	-	[rihB 2,254,245 &larr; 2,255,186]
pykF	+	[pykF 1,755,698 &rarr; 1,757,110]
waaH	-	[yibD 3,789,047 &larr; 3,790,081]
ybaV	+	[TU0-12931 463,937 &rarr; 464,308]
dhaR	+	[dhaR 1,251,066 &rarr; 1,252,985]
ynfN	-	[TU0-13320 1,637,954 &larr; 1,638,109]
aaeR	+	[aaeR 3,389,520 &rarr; 3,390,449]
ygaM	+	[ygaM 2,800,146 &rarr; 2,800,475]
ybdZ // fes // entF // fepE	+	[fes-ybdZ-entF-fepE 612,737 &rarr; 619,387]
yjbD	-	[TU0-14108 4,231,359 &larr; 4,231,631]
rsd	-	[rsd 4,196,332 &larr; 4,196,808]
yafZ	-	[yafZ 267,184 &larr; 268,005]
shiA	+	[shiA 2,053,643 &rarr; 2,054,959]
yrbL	+	[yrbL 3,348,452 &rarr; 3,349,084]
glsB // yneG	-	[TU0-13303 1,611,966 &larr; 1,613,251]
yfiF	-	[yfiF 2,717,491 &larr; 2,718,528]
yfjM	-	[TU0-13693 2,765,513 &larr; 2,765,776]
cydC // cydD	-	[cydDC 927,474 &larr; 930,962]
priA	-	[TU0-14087 4,124,612 &larr; 4,126,810]
hmp	+	[hmp 2,685,835 &rarr; 2,687,025]
cas2 // cas1 // casE // casD	-	[casDE-ygbTF 2,878,569 &larr; 2,881,048]
yibQ // envC // gpmM	+	[gpmM-envC-yibQ 3,785,260 &rarr; 3,789,060]
yahG // yahF // yahE // yahD	+	[TU0-12892 335,280 &rarr; 339,743]
evgS // evgA	+	[evgAS 2,483,755 &rarr; 2,487,967]
maeA	-	[TU0-13287 1,553,972 &larr; 1,555,669]
yeiG	+	[yeiG 2,243,910 &rarr; 2,244,746]
kgtP	-	[TU0-13674 2,724,448 &larr; 2,725,746]
pncA // ansA	+	[ansA-pncA 1,850,860 &rarr; 1,852,528]
yihQ	-	[TU0-14066 4,067,240 &larr; 4,069,276]
rnb	-	[rnb 1,346,978 &larr; 1,348,912]
rrfA // rrlA	+	[rrlA-rrfA 4,037,519 &rarr; 4,040,636]
bamA	+	[bamA 197,928 &rarr; 200,360]
paoA // paoB // paoC // paoD	-	[TU0-12876 297,770 &larr; 302,573]
hcaD // hcaB // hcaC // hcaF // hcaE	+	[hcaEFCBD 2,669,032 &rarr; 2,673,249]
ydcY	+	[TU0-13270 1,517,648 &rarr; 1,517,881]
ydhQ	-	[ydhQ 1,744,871 &larr; 1,746,127]
pepB	-	[TU0-13656 2,655,075 &larr; 2,656,358]
oppA // oppB // oppC // oppD // oppF	+	[oppABCDF 1,301,182 &rarr; 1,306,768]
yigL // pldB	+	[TU0-14049 4,009,170 &rarr; 4,011,000]
mazG // mazF // mazE	-	[mazEFG 2,909,894 &larr; 2,911,339]
csgC	+	[csgC 1,104,961 &rarr; 1,105,293]
ydeI	-	[ydeI 1,624,105 &larr; 1,624,497]
ykfA // yafZ	-	[TU0-12860 267,184 &larr; 268,960]
gcd	-	[gcd 138,835 &larr; 141,225]
ydcA	+	[TU0-13254 1,491,677 &rarr; 1,491,850]
yciN	-	[yciN 1,330,417 &larr; 1,330,668]
nudK	-	[TU0-13639 2,582,903 &larr; 2,583,478]
guaA // guaB	-	[guaBA 2,630,958 &larr; 2,634,070]
kup	+	[kup 3,931,316 &rarr; 3,933,184]
dadX // dadA	+	[dadAX 1,237,571 &rarr; 1,239,949]
dcd	-	[dcd 2,141,634 &larr; 2,142,215]
tolA // tolR // tolQ // ybgC	+	[TU0-41585 774,752 &rarr; 777,607]
yafT	+	[TU0-12844 237,335 &rarr; 238,120]
cstA	+	[cstA 629,894 &rarr; 631,999]
ynaE	-	[TU0-13238 1,433,991 &larr; 1,434,224]
elyC	-	[ycbC 972,622 &larr; 973,401]
cysZ	+	[TU0-13622 2,531,463 &rarr; 2,532,224]
nfo	+	[nfo 2,250,840 &rarr; 2,251,697]
glvC // glvB // glvG // ysdC	-	[TU0-14016 3,861,173 &larr; 3,863,603]
rpsA // cmk	+	[cmk-rpsA 961,201 &rarr; 963,668]
cas2	-	[ygbF 2,878,569 &larr; 2,878,853]
metL // metB	+	[metBL 4,128,672 &rarr; 4,132,267]
yaeI	-	[TU0-12826 184,257 &larr; 185,069]
dnaQ	+	[dnaQ 236,067 &rarr; 236,798]
uspE	-	[uspE 1,397,672 &larr; 1,398,622]
yqhC	-	[yqhC 3,154,262 &larr; 3,155,218]
yfdT // yfdS // yfdR	+	[TU0-13605 2,474,984 &rarr; 2,476,178]
glpX // glpK // glpF	-	[glpFKX 4,114,569 &larr; 4,118,090]
htrL	-	[TU0-14000 3,792,826 &larr; 3,793,683]
tauD // tauC // tauB // tauA	+	[tauABCD 385,232 &rarr; 388,646]
lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL	+	[ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 91,032 &rarr; 107,474]
iraM	-	[iraM 1,211,680 &larr; 1,212,003]
uof // fur	-	[uof-fur 710,200 &larr; 710,725]
agaA // agaW // agaV // kbaZ	+	[kbaZ-agaVWA 3,278,914 &rarr; 3,281,625]
fabI	-	[fabI 1,350,251 &larr; 1,351,039]
yniB	-	[yniB 1,808,697 &larr; 1,809,233]
yfcG	+	[TU0-13588 2,420,621 &rarr; 2,421,268]
fdnG // fdnH // fdnI	+	[fdnGHI 1,547,401 &rarr; 1,551,991]
ysaA	-	[TU0-13985 3,741,109 &larr; 3,741,582]
lldD // lldR // lldP	+	[lldPRD 3,777,399 &rarr; 3,781,017]
eno	-	[eno 2,906,643 &larr; 2,907,941]
glnB // glrR	-	[glrR-glnB 2,687,070 &larr; 2,688,803]
yaaW	-	[TU0-12792 10,643 &larr; 11,356]
rpoC // rpoB // rplL // rplJ // rplA // rplK	+	[rplKAJL-rpoBC 4,178,447 &rarr; 4,189,573]
rttR	-	[TU0-13181 1,287,066 &larr; 1,287,236]
yjhR	+	[yjhR 4,535,015 &rarr; 4,536,031]
elaA	-	[TU0-13572 2,381,082 &larr; 2,381,543]
gyrA	-	[gyrA 2,336,793 &larr; 2,339,420]
yhjD	+	[TU0-13967 3,673,362 &rarr; 3,674,375]
lpd	+	[lpdA 127,912 &rarr; 129,336]
rydC	-	[rydC 1,491,443 &larr; 1,491,506]
mscM // psd	-	[psd-mscM 4,386,047 &larr; 4,390,360]
recF // dnaN	-	[dnaN-recF 3,880,148 &larr; 3,882,321]
adk	+	[adk 497,175 &rarr; 497,819]
ycgH	+	[TU0-13165 1,219,601 &rarr; 1,222,248]
yihA	-	[yihA 4,050,133 &larr; 4,050,765]
radD	+	[radD 2,280,632 &rarr; 2,282,392]
speC	-	[speC 3,107,020 &larr; 3,109,155]
yhhH	+	[TU0-13949 3,623,399 &rarr; 3,623,782]
glnX // glnV // metU // glnW // glnU // leuW // metT	-	[metT-leuW-glnUW-metU-glnVX 696,430 &larr; 697,133]
aspT	+	[aspT 3,946,872 &rarr; 3,946,948]
cydB // cydA	+	[cydAB 771,458 &rarr; 774,181]
moaE // moaD // moaC // moaB // moaA	+	[moaABCDE 817,044 &rarr; 819,747]
ybhK	-	[ybhK 815,739 &larr; 816,647]
ymfJ	-	[TU0-13149 1,201,776 &larr; 1,202,084]
yiaF	-	[yiaF 3,718,334 &larr; 3,719,044]
preA // preT	+	[preTA 2,234,033 &rarr; 2,236,500]
mdh	-	[mdh 3,383,330 &larr; 3,384,268]
greB	+	[TU0-13931 3,536,812 &rarr; 3,537,288]
argU	+	[argU 564,723 &rarr; 564,799]
yceM	+	[mviM 1,126,806 &rarr; 1,127,729]
isrC // flu	+	[flu 2,071,317 &rarr; 2,074,658]
ytfE	-	[ytfE 4,431,321 &larr; 4,431,983]
cytR	-	[cytR 4,123,431 &larr; 4,124,456]
mdtH	-	[TU0-13131 1,124,118 &larr; 1,125,326]
ygjH	-	[ygjH 3,220,915 &larr; 3,221,247]
yehH // yehI	+	[TU0-13521 2,197,410 &rarr; 2,203,911]
malT	+	[malT 3,553,085 &rarr; 3,555,790]
gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC	+	[gspCDEFGHIJKLMO 3,455,578 &rarr; 3,466,220]
ubiX // purF // cvpA	-	[cvpA-purF-ubiX 2,428,057 &larr; 2,430,763]
rseX	+	[rseX 2,033,649 &rarr; 2,033,739]
treR	-	[treR 4,466,299 &larr; 4,467,246]
sroC // gltL // gltK // gltJ // gltI	-	[gltIJKL-sroC 684,530 &larr; 687,747]
yggX // mutY	+	[mutY-yggX 3,103,013 &rarr; 3,104,368]
efeU	+	[efeU 1,081,356 &rarr; 1,082,185]
yajQ	+	[yajQ 444,683 &rarr; 445,174]
yegP	+	[TU0-13504 2,165,189 &rarr; 2,165,521]
ansB	-	[ansB 3,099,682 &larr; 3,100,728]
zapE	-	[TU0-13896 3,378,870 &larr; 3,379,997]
livF // livG // livM // livH // livK	-	[livKHMGF 3,592,724 &larr; 3,597,560]
truD	-	[truD 2,870,255 &larr; 2,871,304]
rlmL // uup	+	[rlmL-uup 1,007,844 &rarr; 1,011,871]
recC	-	[recC 2,959,060 &larr; 2,962,428]
apaH // apaG	-	[apaGH 50,380 &larr; 51,606]
yccF // yccS	-	[yccFS 1,021,730 &larr; 1,024,348]
yacH	-	[yacH 129,407 &larr; 131,260]
sbmC	-	[sbmC 2,080,789 &larr; 2,081,262]
purR	+	[purR 1,737,844 &rarr; 1,738,869]
deaD	-	[TU0-13880 3,305,971 &larr; 3,307,860]
rpoS // nlpD	-	[nlpD-rpoS 2,866,559 &larr; 2,868,753]
selU	-	[ybbB 530,132 &larr; 531,226]
ychF // pth	-	[pth-ychF 1,256,721 &larr; 1,258,513]
groL // groS	+	[groSL 4,370,688 &rarr; 4,372,671]
ycaM	+	[TU0-13082 947,229 &rarr; 948,659]
chiX	+	[chiX 507,204 &rarr; 507,287]
msrQ // msrP	+	[TU0-13469 2,039,478 &rarr; 2,041,118]
umpH // nagC // nagA // nagB	-	[nagBACD 699,574 &larr; 703,611]
yqjF	+	[TU0-13864 3,250,562 &rarr; 3,250,954]
hypB // hypC // hypD // hypE	+	[hypBCDE 2,851,001 &rarr; 2,854,264]
mazF // mazE // relA	-	[relA-mazEF 2,910,756 &larr; 2,913,651]
flgL // flgK	+	[flgK 1,138,378 &rarr; 1,140,986]
gntU // gntK // gntR	-	[gntRKU 3,575,721 &larr; 3,578,726]
yliI	+	[TU0-13066 878,742 &rarr; 879,857]
ribC	-	[ribC 1,742,601 &larr; 1,743,242]
sdiA	-	[TU0-13452 1,996,110 &larr; 1,996,832]
glnG // glnL // glnA	-	[glnALG 4,053,869 &larr; 4,058,034]
hldE	-	[TU0-13846 3,195,320 &larr; 3,196,753]
mbiA	+	[htgA 10,830 &rarr; 11,315]
insQ	+	[TU0-14243 1,503,717 &rarr; 1,504,865]
hemL	-	[hemL 173,602 &larr; 174,882]
zntA	+	[zntA 3,606,451 &rarr; 3,608,649]
ybhP // clsB // ybhN	-	[TU0-13049 821,542 &larr; 824,497]
pepE	-	[pepE 4,229,453 &larr; 4,230,142]
yebE	-	[yebE 1,929,048 &larr; 1,929,707]
aroL // yaiA // aroM	+	[aroL-yaiA-aroM 406,405 &rarr; 408,105]
plsC	-	[TU0-13829 3,162,744 &larr; 3,163,481]
csgC // csgB // csgA	+	[csgBAC 1,103,951 &rarr; 1,105,293]
coaA	-	[coaA 4,174,076 &larr; 4,175,026]
htpG	+	[htpG 495,120 &rarr; 496,994]
norW // norV	+	[norVW 2,832,476 &rarr; 2,835,045]
pgaD // pgaC // pgaB // pgaA	-	[pgaABCD 1,086,106 &larr; 1,092,289]
cbl	-	[cbl 2,059,964 &larr; 2,060,914]
lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH // mraZ	+	[mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 89,634 &rarr; 107,474]
yghG	-	[TU0-13813 3,113,067 &larr; 3,113,477]
yajO // dxs // ispA // xseB	-	[xseB-ispA-dxs-yajO 437,161 &larr; 441,343]
yehF	+	[yehF 2,196,474 &rarr; 2,197,298]
trmB // yggL	-	[TU0-13809 3,101,807 &larr; 3,102,852]
dcd // udk	-	[udk-dcd 2,141,634 &larr; 2,142,948]
yjiX // yjiA	-	[yjiXA 4,587,909 &larr; 4,589,079]
uxaA // uxaC	-	[uxaCA 3,241,827 &larr; 3,244,741]
sdiA	-	[sdiA 1,996,110 &larr; 1,996,832]
cnoX	-	[ybbN 517,425 &larr; 518,279]
insH3	-	[TU0-13015 687,997 &larr; 688,977]
cdgI	+	[TU0-13401 1,870,385 &rarr; 1,871,860]
ldrD	-	[ldrD 3,699,980 &larr; 3,700,087]
secE // nusG	+	[secE-nusG 4,177,358 &rarr; 4,178,288]
zapA	+	[TU0-13793 3,055,612 &rarr; 3,055,941]
yjhF	-	[TU0-14191 4,520,671 &larr; 4,522,020]
murP // murQ	+	[murQP 2,545,773 &rarr; 2,548,097]
micL	-	[micL 1,958,441 &larr; 1,958,520]
ygcG	+	[ygcG 2,905,711 &rarr; 2,906,583]
citC // citD // citE // citF // citX // citG	-	[citCDEFXG 646,631 &larr; 651,856]
hxpB	+	[hxpB 1,809,380 &rarr; 1,810,048]
insG	-	[insG 4,502,103 &larr; 4,503,431]
rplJ // rplL // rpoB // rpoC	+	[rplJL-rpoBC 4,179,996 &rarr; 4,189,573]
yqeA	+	[TU0-13777 3,011,461 &rarr; 3,012,393]
yjgL	+	[TU0-14174 4,475,437 &rarr; 4,477,251]
yliM // ompX	+	[yliM-ompX 850,332 &rarr; 850,965]
aroM // yaiA // aroL	+	[aroL-yaiA-aroM 406,405 &rarr; 408,105]
nohD	+	[TU0-12981 580,834 &rarr; 581,379]
narK	+	[narK 1,277,957 &rarr; 1,279,348]
rydB	-	[TU0-13367 1,764,713 &larr; 1,764,780]
nudG	+	[nudG 1,841,490 &rarr; 1,841,897]
pflD // pflC	+	[pflDC 4,143,995 &rarr; 4,147,136]
yqeJ // yqeI	+	[TU0-13760 2,988,502 &rarr; 2,989,786]
fklB	+	[TU0-14158 4,428,935 &rarr; 4,429,555]
rraA // menA	-	[menA-rraA 4,118,845 &larr; 4,120,349]
nanA	-	[nanA 3,372,683 &larr; 3,373,576]
ybcI	-	[TU0-12964 556,032 &larr; 556,553]
ruvC	-	[ruvC 1,946,855 &larr; 1,947,376]
blr	+	[blr 1,704,551 &rarr; 1,704,676]
fadR	+	[fadR 1,234,938 &rarr; 1,235,657]
tcdA	-	[TU0-13742 2,945,036 &larr; 2,945,842]
cheW // cheA // motB // motA	-	[motAB-cheAW 1,972,836 &larr; 1,977,139]
dsbD // yjdC	-	[TU0-14140 4,362,733 &larr; 4,365,042]
yfgM	-	[yfgM 2,638,663 &larr; 2,639,283]
ilvL	+	[ilvL 3,950,322 &rarr; 3,950,420]
mscK	+	[mscK 486,536 &rarr; 489,898]
yiaG	+	[yiaG 3,719,478 &rarr; 3,719,768]
rspA // rspB	-	[rspA-rspB 1,652,896 &larr; 1,655,141]
can	-	[can 142,008 &larr; 142,670]
casA // casB // casC // casD // casE // cas1 // cas2	-	[casABCDE12 2,878,569 &larr; 2,884,138]
hipA // hipB	-	[hipBA 1,590,854 &larr; 1,592,442]
ghxP	+	[ghxP 4,278,479 &rarr; 4,279,828]
adiY	-	[adiY 4,337,168 &larr; 4,337,929]
trg	+	[trg 1,492,470 &rarr; 1,494,110]
cspI	-	[cspI 1,638,455 &larr; 1,638,667]
ampG	-	[TU0-12926 452,070 &larr; 453,545]
tam // lsrG // lsrF // lsrB // lsrD // lsrC // lsrA	+	[lsrACDBFG-tam 1,601,490 &rarr; 1,608,104]
pinQ	+	[TU0-13316 1,633,622 &rarr; 1,634,212]
plsY	+	[ygiH 3,204,694 &rarr; 3,205,311]
kbp	-	[kbp 2,796,337 &larr; 2,796,786]
fabZ	+	[fabZ 202,101 &rarr; 202,556]
yjaA	+	[TU0-14105 4,213,234 &rarr; 4,213,617]
zraP	-	[zraP 4,201,263 &larr; 4,201,688]
acnB	+	[acnB 131,615 &rarr; 134,212]
recG	+	[recG 3,825,210 &rarr; 3,827,291]
hemB	-	[hemB 388,753 &larr; 389,727]
yegZ // yegR	-	[yegRZ 2,167,602 &larr; 2,168,306]
tam	+	[tam 1,607,346 &rarr; 1,608,104]
yfgO	-	[yfgO 2,614,820 &larr; 2,615,881]
yfjI	+	[TU0-13690 2,758,985 &rarr; 2,760,394]
clpP // clpX	+	[clpPX 456,677 &rarr; 458,700]
sbp	+	[TU0-14080 4,108,834 &rarr; 4,109,823]
polA	+	[polA 4,046,966 &rarr; 4,049,752]
phnP // phnO // phnN // phnM // phnL	-	[phnLMNOP 4,314,344 &larr; 4,317,895]
araH // araG // araF	-	[araFGH 1,982,554 &larr; 1,986,128]
pdeL	+	[yahA 332,371 &rarr; 333,459]
amyA	+	[amyA 2,006,156 &rarr; 2,007,643]
yddG	-	[yddG 1,546,288 &larr; 1,547,169]
yegH	+	[yegH 2,137,902 &rarr; 2,139,485]
patZ // tapT	+	[TU0-13671 2,719,223 &rarr; 2,722,613]
adiA	-	[adiA 4,338,254 &larr; 4,340,521]
yihN	+	[TU0-14063 4,062,247 &rarr; 4,063,512]
ihfB // rpsA	+	[rpsA-ihfB 961,995 &rarr; 964,112]
rrfE // rrlE	+	[rrlE-rrfE 4,210,043 &rarr; 4,213,159]
ygiM	+	[htrG 3,201,207 &rarr; 3,201,827]
yagN	-	[TU0-12873 295,139 &larr; 295,579]
istR	-	[istR-2 3,853,118 &larr; 3,853,257]
ydcR	+	[ydcR 1,510,003 &rarr; 1,511,409]
ydeJ	+	[ydeJ 1,624,773 &rarr; 1,625,291]
IS128	+	[TU0-13653 2,653,515 &rarr; 2,653,723]
rhaD // rhaA // rhaB	-	[rhaBAD 4,093,448 &larr; 4,097,448]
pldA	+	[pldA 4,004,862 &rarr; 4,005,731]
cfa	+	[cfa 1,741,413 &rarr; 1,742,561]
cysH	-	[cysH 2,887,578 &larr; 2,888,312]
gadC	-	[TU0-41792 1,568,954 &larr; 1,570,489]
frsA	+	[frsA 256,527 &rarr; 257,771]
cspB	-	[cspB 1,641,339 &larr; 1,641,554]
hrpA	+	[TU0-13251 1,483,061 &rarr; 1,486,963]
ychH	+	[ychH 1,258,791 &rarr; 1,259,069]
eutS // eutP // eutQ // eutT // eutD // eutM	-	[TU0-13636 2,572,157 &larr; 2,575,805]
phoU // pstB // pstA // pstC // pstS	-	[pstSCAB-phoU 3,906,853 &larr; 3,911,525]
mnmG // rsmG	-	[mnmG-rsmG 3,923,057 &larr; 3,925,633]
fabF // acpP	+	[acpP-fabF 1,151,615 &rarr; 1,153,180]
recJ // dsbC // xerD	-	[xerD-dsbC-recJ 3,036,373 &larr; 3,039,743]
lpxA // fabZ // lpxD // skp	+	[hlpA-lpxD-fabZ-lpxA 200,482 &rarr; 203,348]
mltD	-	[TU0-12841 232,597 &larr; 233,955]
valS	-	[valS 4,480,982 &larr; 4,483,837]
lomR // ynaA	+	
ybjM	+	[ybjM 890,089 &rarr; 890,466]
pdeA	-	[TU0-13618 2,515,643 &larr; 2,517,832]
lysR	+	[lysR 2,979,021 &rarr; 2,979,956]
emrD	+	[emrD 3,853,922 &rarr; 3,855,106]
nmpC	-	[nmpC NIL &larr; NIL]
pgpA // thiL // nusB // ribE	+	[ribE-nusB-thiL-pgpA 434,647 &rarr; 437,107]
rutA // rutB // rutC // rutD // rutE // rutF // rutG	-	[rutABCDEFG 1,068,511 &larr; 1,074,011]
mtn // btuF // yadS	-	[mnt-btuF-yadS 177,001 &larr; 179,153]
atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB	-	[atpBEFHAGDC 3,915,553 &larr; 3,922,051]
mppA	+	[TU0-13218 1,393,227 &rarr; 1,394,840]
yqgC	+	[yqgC 3,086,187 &rarr; 3,086,402]
tfaS	+	[TU0-13602 2,470,803 &rarr; 2,471,105]
gcvP // gcvH // gcvT	-	[gcvTHP 3,046,168 &larr; 3,050,667]
yibQ // envC // gpmM	+	[gpmM-envC-yibQ 3,785,260 &rarr; 3,789,060]
rseD // rseC // rseB // rseA // rpoE	-	[rpoE-rseABC 2,707,322 &larr; 2,710,164]
gadW // gadX	-	[gadXW 3,663,890 &larr; 3,665,810]
uxaB	-	[uxaB 1,609,229 &larr; 1,610,680]
leuO	+	[leuO 84,368 &rarr; 85,312]
ssb	+	[ssb 4,274,125 &rarr; 4,274,661]
pgpB	+	[pgpB 1,339,330 &rarr; 1,340,094]
yncD	-	[yncD 1,520,963 &larr; 1,523,065]
yfcD	-	[yfcD 2,418,634 &larr; 2,419,176]
hypA // hypB // hypC // hypD // hypE	+	[hypABCDE 2,850,647 &rarr; 2,854,264]
yiaA	-	[yiaA 3,726,924 &larr; 3,727,361]
envZ // ompR	-	[ompR-envZ 3,534,516 &larr; 3,536,584]
pdeL	+	[yahA 332,371 &rarr; 333,459]
yhdZ // yhdY // yhdX // yhdW	+	[yhdWXYZ 3,419,042 &rarr; 3,423,194]
yaaJ	-	[TU0-12789 6,529 &larr; 7,959]
lpp	+	[lpp 1,757,421 &rarr; 1,757,657]
ycgV	-	[TU0-13178 1,253,085 &larr; 1,255,952]
yjgN	+	[yjgN 4,479,730 &rarr; 4,480,926]
arnF // arnE // arnT // arnD // arnA // arnC // arnB	+	[TU0-13569 2,365,910 &rarr; 2,373,278]
malS	+	[malS 3,737,497 &rarr; 3,739,527]
mdtF // mdtE	+	[mdtEF 3,659,232 &rarr; 3,663,527]
pheU	-	[pheU 4,362,551 &larr; 4,362,626]
mreB	-	[mreB 3,400,044 &larr; 3,401,087]
lpxP	+	[lpxP 2,495,645 &rarr; 2,496,565]
rrfH // rrlH // alaV // ileV // rrsH	+	[rrsH-ileV-alaV-rrlH-rrfH 223,771 &rarr; 228,875]
pepD	-	[pepD 254,259 &larr; 255,716]
ymgC	+	[TU0-13162 1,216,748 &rarr; 1,216,996]
yifB	-	[yifB 3,948,449 &larr; 3,949,969]
yejG	-	[yejG 2,277,893 &larr; 2,278,237]
fur	-	[fur 710,200 &larr; 710,646]
yhhT	+	[TU0-13946 3,611,865 &rarr; 3,612,914]
tufB // thrU // tyrU // glyT // thrT	+	[thrU-tyrU-glyT-thrT-tufB 4,175,388 &rarr; 4,177,128]
ybgE // cydX	+	[ybgTE 774,196 &rarr; 774,602]
cueO	+	[cueO 137,083 &rarr; 138,633]
fkpA	-	[fkpA 3,476,607 &larr; 3,477,419]
ybiB // dinG	+	[dinG-ybiB 833,070 &rarr; 836,210]
rluE // nudJ	-	[TU0-13145 1,193,827 &larr; 1,194,951]
yhiM	+	[yhiM 3,634,841 &rarr; 3,635,893]
dusC	-	[dusC 2,229,438 &larr; 2,230,385]
fumC	-	[fumC 1,685,185 &larr; 1,686,588]
igaA	+	[TU0-13928 3,526,469 &rarr; 3,528,604]
glmS // glmU	-	[glmUS 3,911,839 &larr; 3,915,200]
galF	-	[galF 2,113,434 &larr; 2,114,327]
micF	+	[micF 2,313,084 &rarr; 2,313,176]
ahpF	+	[ahpF 639,753 &rarr; 641,318]
ubiB // ubiJ // ubiE	+	[ubiE-yigP-ubiB 4,018,855 &rarr; 4,021,866]
dinI	-	[dinI 1,121,242 &larr; 1,121,487]
rlmF	+	[ybiN 842,332 &rarr; 843,258]
mrp	-	[mrp 2,193,059 &larr; 2,194,168]
tyrP	+	[tyrP 1,989,681 &rarr; 1,990,892]
mscL	+	[mscL 3,438,024 &rarr; 3,438,434]
rpsU	+	[rpsU 3,210,781 &rarr; 3,210,996]
secG	-	[secG 3,322,173 &larr; 3,322,505]
